original,translated
thank you u,thank you u
sure did only waited about 15min yay,of course you do i waited 15 minutes
took this picture on thursday,took this photo on thursday
is expiring the offer to buy or transfer miles with discount many offers during a year,expiring the offer to buy or transfer miles with discount many offers for one year
looks like i m settled in to where i m going thx,i look like i m moving in where i m going thx
thanks kp please also mention the quiche breakfast and tandoori chicken dinner entrees and accompaniments are truly first class,thank you kp please also mention the quiche breakfast and the tandoori chicken supper entries and the accompaniments are really first class
on a good note the 2 employees i encountered newark were fabulous i was very late flight for my connecting flight and they got me on,on a good note the two employees i met newark were fabulous i was flying very late for my correspondence flight and they took me
doing a good thing holding flight for a few for 11 peeps on late flight connecting flight we will still make destination on time,do a good thing hold a flight for a few for 11 pennies on the late correspondence flight we will always make the destination in time
stay warm i will be passing through chicago next week,stay warm i ll go to chicago next week
wifi onboard 737 800 far superior in pricing and performance user perceived bandwidth and late flightncy to recent experiences,wi fi on board 737 800 far superior in prices and performance width bandwidth by user and late flight to recent experiences
thankful for great service in newark seats fixed and i was seated with my daughter fab landing in fort myers,grateful for a great service in newark i was sitting with my daughter a landing in the strong myers
brandi zabsonre in denver deserves a raise for bringing delight into a terrible travel situation big ups,brandi zabsonre in denver deserves an increase to bring pleasure in a terrible situation of travel big ass
pleasantly surprised to find ana has made major upgrades on their transpacific route in flights planes and service,pleasantly surprised to find ana has made major upgrades on their transpacific route in flights aircraft and service
no worries about the tweets we all should do what we can to make sure we as in your tag line fly the friendly skies,no worries about the tweets we should all do what we can to assure ourselves as in your line of tags fly the friendly heavens
i am thankful to the united ground staff who put me in the last seat on the last flight out home late flight is still home,i am grateful to the ground staff who put me at the last seat on the last flight the late flight is still home
i appreciate the follow up,i appreciate the follow up
thank you for the new club at o hare very comfortable you made the difficult weather days proficient and enjoyable,thank you for the new o hare club very comfortable you have made the weather days difficult and pleasant
new apple cripe amazing live from ua1207 really nice crew too has biscuits ua needs them 2,new apple amazing live de ua1207 that is very nice a biscuits ua needs 2
thank you so much completely made things right,thank you very much
love them always get the best deals,love them always get the best deals
thx make it right help meagan fouty brancato fl 2771 dfw gate 4 preboard w kids b4 group a please please,thx do it well help meagan fouty brancato fl 2771 dfw gate 4 preboard w kids b4 group a please please
thanks southwest for saving our trip my sweetheart is not going to miss seeing thanks to y all,thank you to the southwest for saving our trip my love will not fail to see thanks to you all
never mind i moved my flight to tomorrow thanks for the help,i moved until tomorrow thanks for the help
i managed to get sorted out over the phone good luck dealing with the snow in texas,i managed to sort myself out by phone good luck with the snow in texas
weather bc of system outage hopefully everything goes smoothly now thank you for follow up,system failure time hopefully everything s fine now thanks for the follow up
i used to always fly southwest,i was still flying southwest
thank you for your awesome flights sweetheart got screwed on managed to scramble and get a sw plane today,thank you for your impressive flights my heart got screwed and took a marsh plane today
round trip tickets just arrived for our auction at the post masters invitational thanks southwest,return tickets just arrived for our auction at the postmaster invitation thanks to the southwest
tv stream means i get to spend my flight watching 1999 and 2011 women s world cup finals,tv feed means i m going to spend my flight watching 1999 and 2011 the finals of the women s world cup
i d at least enjoy a free cocktail or two,i d like at least a free cocktail or two
i agree rt one airline is the fly away favorite at dia,i agree rt an airline is the preferred diaper flight
thx for your quick response and action bf will make good use of the voucher,thx for your quick response and action bf will make good use of the good
thanks sent a dm to you let me know if oyu need any additional information,thank you i sent you a doctor tell me if oyu needs more information
strives to be customer centric in everything they do communications advertising customer journey etc,strives to be centrist in all they do communications advertising customer travel etc
customer centricity is knowing people,the centricity of customers knows people
ok thank you i hope so too,thank you
4 moms 4 careers 1 day trip to la,4 moms 4 careers 1 day trip to the hotel
is the best airline hands down amazing customer service bags free and affordable flights,is the best airline amazing customer service free and affordable flight bags
thanks to ella mae at las counter for going above and beyond to help us get back to abq after our flight was cancelled flightled,thanks to ella mae at the las counter to go above and beyond to help us get back to abq after our flight was cancelled
thank you for taking good care of people with als,thank you for taking care of people with als
has the smoooothest flight attendants,has the best on board agents
thank you for the tip,thanks for the advice
thanks to your team for dealing with flight 1700 to houston,thanks to your team for the 1700 to houston flight
bumped me to preboard on both flights because i m fat whatever the reason thanks,i hit the two flights in advance because i m fat whatever the reason thank you
we left ipad in a seat pocket filed lost item report received it exactly 1 week late flightr is that a record,we left the ipad in a pocket lost article report received it exactly 1 week late flight is that a record
can anyone help me upgrade to buisness select cant seem to get hail of the right area at all i know you guys are good,can someone help me upgrade to select buisness i know you are good
loving the new planes and the lighting only wish windows were larger,loving the new designs and lighting only the desired windows were larger
cool shot of the moon and one of your fleet,cool moon shot and one of your fleet
looking forward to flying once again with on friday the airline,look forward to flying again with friday the airline
i love this airline so much thanks so much the service is great the snacks are amazing everything is outstanding thanks,i love this company thank you very much service is great the snacks are amazing everything is exceptional thanks
had a great flight to and from cabo last week with my family,i had a good flight to and from cabo last week with my family
uo uo uo on that late flightst ad makes me happy to be flying you in a few days,uo uo uo on the late announcement of volt i m happy to steal you in a few days
the fact that u see black history month 12 months a year is honorable we will be an economic base for corp like u in future,the fact that you see the black story month 12 months a year is honorable we will be an economic base for corp like u in the future
what an awesome flight dallas 2 ny virgin america refused bc of my child s peanut allergy but u guys didn t thanks uo u,what a super flight dallas 2 ny the virgin america refused bc of my child s peanut allergy but the u guys didn t thank you uo u
in flight wifi wifi calling makes for the best combination who does not love texting 40 000 feet in the air,in wifi flight wifi call made for the best combination who does not like to write 40 000 feet in the air
great day in the air,a day in the air
thanks for two smooth safe and fast flights,thanks for two smooth safe and fast flights
i really love your customer service lou ann in phx rocks thanks sw ourguest,i really like your customer service lou ann in phx rocks thank you
katie gate c47 denver international fantastic customer service helping me and 2 new flyers thx for amazing staff,katie gate c47 international denver fantastic customer service help me and 2 new flyers thx for incredible staff
crew on flight 206 is awesome tell them i sent this tweet and maybe they will give me free wifi,the crew on flight 206 is great tell them i sent this tweet and they will give me the free wifi
thankyou u,thank you u
happy to enter your sweepstakes again,happy to enter your sweeping catches again
thanks for the great customer service today uo uoi,thanks for the great customer service today uo uoi
beyond ready,beyond status
is my favorite airlines i ve never had issues with them plus there crew is entertaining,it is my favorite airlines i ve never had any problems with them the more fun the crew is
your flight attendants are really funny the sass is giving me life ua,your flight attendants are really funny the sass gives me life you are right
following thank you,next thank you
it is all good thanks,it is all right thank you
oh no worries just have never seen that before until today i meanu it is a great card uu,oh no worries i ve never seen this before i mean it is a good card uu
thank you thank you thank you my last attempt to win tickets was a success i could not be happier,thank you thank you my last attempt to win tickets was a success i could not be happier
flight 1700 phx to lax wheels stop glad to be home thanks to the professionals both up front and in the cabin,flight 1700 phx to lax wheels stop glad to be home thanks to professionals both in front and in cabin
eyes next steps for improving runway girl,next steps to improve girl track
2 22 mdw 2 san flt 1687 attendant melissa was awesome fast smiling great after weather cancelled flight day b4 it was welcome,2 22 mdw 2 san flt 1687 waiting melissa was impressive quick smiling awesome after the flight day cancelled b4 it was welcome
thank you great customer service so far accidents happen i understand hopefully everything works out,thank you great customer service so far accidents happen i understand let us hope everything works
thanks for the quick response should i call daily it wait the 5 days,thanks for the quick answer i call it every day
seeing your workers time in and time out going above and beyond is why i love flying with you guys thank you,seeing your work time and time out going over and beyond is why i like to fly with you guys thank you
travel agent darrel here at love field hosting a paper airplane contest to entertain all the children was so awesome to see,the travel agent here in love field hosting a paper aeroplane contest to entertain all children was so impressive to see
big kudos to your staff today at dallas love field for lifting everyone is spirits today with all the delays and cancelled flightlations,big kudos to your staff today in the dallas love field to lift the minds of all today with all the delays and flights cancelled
it is not fun having a delay from nashville to las vegas but the crew at the gate c9 desk has been awesome,it is not fun to have a nashville delay at the las vegas but the crew at the c9 office door was great
never got to the strip that fast before stoked for special show tonight thx again,i ve never been so fast it is a special evening tonight again
telling my fam in vegas now,i m telling my gas fam
what can we do to bring you back to jackson ms we miss you terribly around here these other airlines are horrible,what can we do to bring you back to jackson ms we miss you terribly here these other airlines are horrible
3 hours and 80 degree difference yes please mht to mco,3 hours and 80 degrees of difference yes please mht to mco
looks like bellagio to me good luck people see you at the show at vinyl,it looks like a bellagio for me good luck see on the vinyl show
can a pair of tickets waiting for me after my sports practice i live here and definitely know where that is,can a pair of tickets wait for me after my sports training i live here and i really know where it is
love southwest you guys have been good to me,i love the southwest you have been good to me
your crew on 3138 is doing a great job of keeping everyone informed during the delays,your crew on 3138 does a great job to keep everyone informed on time
really easy for locals to get down to the strip book,it is very easy for the locals to get down to the band book
luv your new love television commercials traveled on your airline last year return trip from nyc feltthelove,luv your new television ads travel on your airline last year return trip of nyc feltthelove
best airline uoi,best airline uoi
nice to see you prioritize internet traffic to your own streaming service over other web sites,pleasant to see you prioritize internet traffic to your own streaming service on other websites
thanks for getting us to paradise safely,thank you for making us in paradise safely
just go ahead and start the scavenger hunt after 5 pm today when work is over,go ahead and start charognard hunting after 5 00 p m today when work is over
awesome staff at the check in desk they had a paper airplane race for a sw gift card to keep ppl entertained during delays,great staff at the office they had a paper plane race for a sw gift card to keep ppl entertained during the delays
just got a call apologizing personally for the long waits last week trying to rebook flights class act i appreciate that,i had a call to apologize personally for long expectations last week trying to rebook the flights the class act i like it
your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry u rock,your ferry is our hero my husband got the thru security to get the cell phone back on a plane in austin terry u rock
your terry is our hero got my husband back thru security to retrieve his cellphone in austin terry 85832 you rock,your ferry is our hero my husband got thru security to get his cell phone back in austin terry 85832 you rock
thanks you guys are the best,thank you you are the best
i ll stick with flying for free any where that southwest goes my son works for this wonderful company and moms fly free,i m going to stay in the free flight where this southwest is going my son works for this wonderful company and mothers fly for free
love the passbook update used it the day after it was released finally thank you,love the update of passbook used it the day after his release thank you
a to the safety dos and don ts announcer flight 651 from midway mdw to pittsburgh pit,a for security and does not announce midway 651 mdw flight to pittsburgh pit
another great trip lax 823 las 3075 bna thanks so much,another great trip lax 823 las 3075 bna thank you very much
got help from a nice lady on the phone in georgia thank you,i got some help from a pretty lady on the phone in georgia thank you
thanks for the quick reply i travel a lot but not that much lol,thank you for the quick answer i travel a lot but not so much lol
thanks i did go through these motions shortly after my flight yesterday i wonder how quickly flight attendants are notified,thank you i passed these motions shortly after my flight yesterday i wonder how flight attendants are informed quickly
nice touch on the passbook integration,beautiful touch on the passbook integration
awesome thanks you guys rock,great thank you you are rock
thanks for adding passbook ability hopefully we can do group passbook tickets in the future somehow,please add the capacity of passbook hopefully we can make group notebook tickets in the future
they arrived late flight but pilots got us to dia on time,they arrived in late flight but the pilots brought us to dia in time
i would appreciate that thank you,i d appreciate it thank you
glad to know i ll be flying the love airline tomorrow,happy to know i m stealing the love company tomorrow
thank you for great customer service trying to make it to san antonio and your staff and alerts have been helpful boo ice,thanks for the customer service trying to do it for san antonio and your staff and alerts were useful boo ice
open seating is like an open marriage there is so much love for strangers,open places are like an open marriage there is so much love for foreigners
and this is why i love flying southwest excellent service and you do not take yourselves too seriously,and that is why i love flying southwest excellent service and you do not take too seriously
what is even better is the price changed in the 2 minutes since i talked to the lady and they still honored the cheap1,what is even better is that the price has changed in the 2 minutes since i spoke to the lady and they have always honored the cheapest1
thanks confirmation number just dmed appreciate any help,thank you the confirmation number just died enjoy all the help
just sent dm thanks for your attentiveness to this matter,i sent dm thanks for your attention to this question
me on one of your planes thanks for taking me arizona 184,i m on one of your planes thank you for taking arizona 184
have sent you a dm with the details thanks,sent you a m with the details thank you
thank you for the confirmation maybe people on my flight have directional dislexia,thank you for the confirmation maybe people on my flight have a directional dislexie
you know what did be beyond awesome a pair of tickets to the show in atl a girl can dream,you know what would be beyond great a pair of tickets for the show in atl a girl can dream
yes i was everything worked out great,yes i was very good
show me some love and a companion flight please and thank you,show me a little love and a companion flight
loved it,i loved it
southwestair thx for the follow up just sent dm,southwestair thx for follow up just sent dm
ty for your consideration,ty for your consideration
crew of wn3946 san sfo was brilliant rita was hilarious i know i ve been down on you before but this was a great flight,the crew of wn3946 san sfo was brilliant rita was hilarious i know i was on you before but it was a great flight
thanks very excited to see it,thank you very excited to see him
thanks for helping my mom after would not let her get on her plane in orlando you are the best,thank you for helping my mother after she did not let her ride on her plane to orlando you are the best
kudos to the crew of flight 1050 to grr for making a very special memory for a sweet young passenger and her momma well done,kudos to the flight crew 1050 to crane to make a very special souvenir for a soft young passenger and his mother well played
all good beers and ar,it is all right beers and ar
love my companion pass,praise my companion
we are pulling off the runway now making new friends with seat mates thanks for the response cb,we are shooting the track make new friends with seats thank you for the answer cb
it is ok southwest is still the best airline around just hate when baggage room runs out my now checked bag has headphones,it is okay southwest is always the best airline around i hate it when the baggage stops my bag now registered has headphones
beautiful view flying into san jose ca this evening,beautiful flying view in san jose tonight
thank you swa and shannon g c22 for being a miracle worker,thank you swa and shannon g c22 for being a miracle worker
yes please,yes
i changed my flight through st louis thanks for the reply though,i ve changed my flight through the louis thank you for the answer however
have had a companion pass for a few years and my wife and i use it all the time thanks for making travel easy,i had a pass for a few years and my wife and i use it all the time thank you for your easy trip
constantly providing wonderful views and service,constantly offering wonderful views and service
lol i already am i am a card member as well too lol i enjoy flying with you guys,i m already i m a member of the map as well as lol i like flying with you guys
50th anniversary on april 10th still sweethearts companions lifetime sons families love,50th anniversary on april 10 always the lovers companions life sons families love
yes please how do we get that companion pass,yes please how to get this pass
yes please,yes please
i miss mine terribly a 1 for my 30th anniversary would be amazing it would mean love is in the air,i miss it terribly a 1 for my 30th birthday would be amazing that means the luv s in the air
i heart my cp status sure would be nice to have though,i m just a little bit of a prick
southwest companion pass would be great,southwest company pass would be great
i want one,i want one
ui southwestair companion pass because everyone deserves treatment and a 1 even if it is your mom,ui southwestair laissez passer because everyone deserves treatment and a 1 even if it is your mother
sign me up,get me in
that would be brighter than all the stars combined on the red carpet tonight,it would be brighter than all the stars combined on the red carpet tonight
got mine just in time for the wife and my 15th anniversary,i got mine just in time for the woman and my 15th birthday
i love my companion pass qualified 4th year,i love my companion pass qualified 4th year
i continue to be amazed by the amazing customer service thank you swa,i continue to be surprised by the incredible customer service thank you swa
yes please,yes please
just got mine now where to go,i got mine now where to go
thanks connection thru nashville have a1 boarding pass get to dallas gate boarding 40 min before flt get end of b group,thanks turu nashville connection have a1 boarding card get at the dallas door 40 min before flt get end of group b
weather keeps slowing us down not your fault this is the 1st time a southwest flight of mine was late flight so i cannot complain,time continues to slow us down you are not your fault it is the first time a flight to the southwest was late so i cannot complain
thanks,thank you
has a beautiful fleet what a perfect evening to fly,has a beautiful fleet what a perfect night to fly
leave bur ten minutes late flight and arrive in sjc a minute before we were supposed to impressed uo,leave a flight of 10 minutes late and arrive at sjc a minute before we are supposed to impressed yes
thanks 436 only a minor delay so not a big deal appreciate the concern though boarding now you do have amazing service,thank you 436 only a minor period so not a big deal thank you for your concern we are on board now you have an incredible service
i tweeted several times last week about flight info during storm always a timely tweet back thx ua,i tweeted several times last week on the flight info during the storm always a tweet in a timely manner ♪
props to your las employees working c11 gate because of them i am not opposed to flying through or to las in the future uo uo uo,prodigue to your las employees who work at door c11 because of them i m not opposed to flying through or through the las in the future uo uo uo
ohk thank you b c of the inexpensive airfares that southwest has i can now travel around,ohk thank you b c of inexpensive fares that the southwest has i can now travel around
mad love nyc,crazy love
my fav,my fav
just got it back about 20 mins ago went about 18 hrs w o it but i appreciate the support 50 voucher 50 for essentials,20 minutes ago went around 6 p m w o but i appreciate the support 50 50 for essentials
is hosting an party in the terminal in atlanta,organizes a party in the atlanta terminal
just watched crew on flight 380 help elderly lady off plane firstclass,he just watched the crew on flight 380 to help senior women off the plane
you guys rule i will dm you lt 3 thank you,you govern i ll kill you lt 3 thank you
good to be back see you all again in several weeks,it is good to be back we will see you in a couple of weeks
stewardess really funny now i could get the gent next to me to use some headphones this would be the perfect flight,the very funny stewardship now i could put the gent next to me to use earphones it would be the perfect flight
think you have great people working for you,you think you have great people who work for you
way to go flying out of denver today must be the only airline not cancelled flighting delaying flights,how to get out of here today must be the only airline that has not cancelled the flights or flights to delay
you guys are so amazing for sending people to meet imagine dragons uu,you are so amazing to send people to meet dragons uuu
was in a line a mile long at sky harbor this morning your staff was courteous and expeditious thank you,was in a line at one kilometre at the port of heaven this morning your staff was courteous and fast thank you
just realized i had the wrong departure date thanks for making changes easy,i just realized i had the wrong date of departure thanks for making the changes easy
last week i flew from dal to lax you got us in almost an hour early thank you,last week i stole lax dal you got us in almost an hour early
i will say that your customer service has consistently been the very best,i ll say your customer service has always been the best
appreciate the tweet back it was unexpected,enjoying the tweet it was unexpected
although the wait was long due to weather r scheduling a phone call and super rep solved the issue thank you,although the wait was long due to the weather r scheduling a phone call and super rep solved the problem thank you
you all are better then,you are all better
make the world a better place visit an elderly relative,making the world a better place visiting an elderly parent
finally a passbook option for the swa app thank you,finally a passbook option for the swa application thank you
i ve dm d you thanks,i did thank you
great flight yesterday from msy to aus thank you for such great safety service and beautiful skies,a big flight yesterday from msy to aus thank you for this great security service and beautiful heaven
great example of customer service this morning at msy headed to atl alison and bobbi were fantastic gate b8 thank you,great example of customer service this morning at msy went to atl alison and bobbi were fantastic door b8
offers atlanta unprecedented perk,offers an unprecedented range atlanta
thx to customer service rep alex for his patient help in reflight booking problems a cancelled flighted flight and getting us where we have to be tmrw,thx to customer service rep alex for his patient help in changing booking problems a cancelled flight and we get where we need to be tmrw
thank you for your help adam and to the awesome gate agents at b12 in las for getting us home,thank you for your help adam and impressive door agents to b12 las to bring us home
southwest airline is the way to go,the south west airline is the way to go
thanks for getting me home from denver tonight despite the snow,thank you for bringing me home tonight despite the snow
never lets me down,never let me down
delacy p is a compassionate professional despite the flight challenges she made passengers feel like priorities uiu uiu,delacy p is a compassionate professional despite the flight challenges she has made passengers feel like priorities uiu uiu
the pilots amp crew on flt 3999 and customer service professionals at baggage claim are outstanding thank you,the crew on flt 3999 and customer service professionals on baggage allowance are exceptional thank you
thanks for helping out class act all the way see you in the air,thanks for helping the class act the whole way see you in the air
kudos for adding to your app i love it,kudos to add to your app i love it
male flight attendant on flight 3913 from orlando to indy was amazing he needs a raise uo had the best experience with him,the male on board agent on the flight 3913 from the orlando to the indy was incredible he needs an increase uo had the best experience with him
thx for the grand view today flt 3825 seatac to phx,for the great view today 3825 phx siege
i wanted to thank the great efforts of jamie mckinnie in buf she is a true pro during major delays she was owning it,i wanted to thank the great efforts of mckinnie jamie in buf that she is a real pro during the great delays she had
thanks for making good on s cancelled flightled flight,thank you for making good on the cancelled flight
just sent another 4 drink coupons i think i have over 30 coupons now free drinks anyone,i just sent four drinks i think i have more than 30 coupons now have a free drink
i love you southwest i accept all your flight attendants and their many talents always,i love you southwest i always accept all your flight attendants and their many talents
flying with you in april first time on southwest cannot wait flew american airlines last time was meh,fly with you in april first time southwest i cannot wait stole american airlines last time it was meh
i ll do that cannot dm until you follow me thanks,i ll do it i cannot stop before i follow thank you
thanks for sending my kid to the concert vegas so awesome,thank you for sending my child to the verogas concert so awesome
yes just a few minutes after my tweet she was able to reschedule her flight thanks,yes a few minutes after my tweet she was able to reorganize her flight thank you
gate attendant at mccarran c16 vegas to dallas went above and beyond after a long day of frustration it was welcome,the door agent of the mccarran c16 gas to dallas went above and beyond after a long day of frustration he was welcome
three cheers to your denver staff do not know if we will get out but they are keeping us smiling,three gites to your staff denver we do not know if we go out but they make us smile
great commercial thx,super commercial thx
replacing with beer bravo uo uo cheers ue ue,replace with beer bravo uo uo applause ue ue
i hope i can be apart of the team with this job opening,i hope i can be apart from the team with this opening of work
i made it heading to denver and your employees really are as pleasant as i just told someone your application asks thanks,i did it i m just saying to someone that you are asking thank you
i just want to say you are incredible for sending people to see their idols sooooo kind and amazing uo,i just mean you are amazing sending people to see their idols sooooo kind and amazing uo
thank you i left my ipad on a plane filled out a lost and found form yall found it and shipped it back thank you,thank you i left my ipad on a plane filled out a lost form and found yall found it and shipped it thank you
sent your way thanks for the help,you sent your way thank you for the help
you all are fast we already have our 5 winners congrats,you are fast we already have our 5 winners
left my computer on the plane two weeks late flightr they found it and sent it to me,left my computer on the plane they found him and sent me
that is an awesome library,it is a great library
thanks so much just had to make a cancelled flightlation i ve sent u the info,thank you you had to make a cancelled vollation i sent the news
dm sent thanks for the help,dm sent thanks for the help
love swa myself and my employees use you always,love swa myself and my employees always use you
is the best case and point,that is the best deal and point
incredible view i had a smooth flight both ways even tho there was turbulence your pilots rock,unbelievable sight i had a smooth flight in both ways even tho there were turbulences your pilots
thank u thank u thank u for coming through for us i sincerely did not think it would happen lt 3,thank you u for bringing us here i did not think it would happen quot 3
flight 3970 bna rdu had the most excellent crew today,flight 3970 bna rdu had the most excellent crew today
never felt better taken care of indian aunties are the gold standard thanks aruna,i never felt better taken care of indian aunties are the norm of gold thanks aruna
that is a great fa right there,he is a great fa
dm sent thank you,dm sent thank you
what a great first night,it is a good first night
finally through thx,finally through thx
hello i m happy to be flying with you this morning dal mdw looking forward to a comfortable fight,hello i m happy to be flying with you this morning dal mdw looking forward to a comfortable fight
your attendants at the atl airport are awesome very helpful with all the cancelled flightlations this morning,your staff at the atl airport are impressive very useful with all flights cancelled this morning
flt 3867 crew to is the weather delay but pilots just invited the kids to see the cockpit,flight 3867 is the time limit but the pilots simply invited the children to see the cockpit
had an amazing experience with your staff at dia last night i was blown away by their hospitality with my wife on crutches,had an incredible experience with your staff last night i was blown by their hospitality with my wife on crutches
had a great trip this past week to vegas for work and had this pic over the southwest on southwest,had a great trip last week for the work of vegas and had this picture above the southwest on the southwest
so glad u guys do business w more class than ur competitors u,so happy u guys do business w classier than competitors ur u
thanks 4 the great service staff letting me change my flight 5 times for free pvd to the skies for me always on swa,thank you 4 for the great service the staff let me change my flight 5 times for free pvd in heaven for me always on swa
great flight and great view,super flight and a beautiful view
is my favorite airline i cannot wait to book my flight to new orleans for my trip in april,is my favorite airline i cannot wait to book my flight to the new orleans for my trip in april
loving the boarding to go to chicago,love boarding to go to chicago
had a great la flight with clarence and frank those 2 guys are a hoot ui ua thanks,had a great flight with clarence and frankly these two guys are a hoot thank you
hey southwest i want to go to see you guys are a lot better then jet blue,southwest i want to go see you are better so jet blue
hey sourhwest can you send me to atlanta to see i will fly southwest forever u guys are the best airline,can you send me to the atlanta to see i ll fly southwest forever guys are the best airline
great news,good news
is making dreams come true with their scavenger hunt you can win a chance to see imagine dragons go,make dreams come true with their treasure hunt you can win a chance to see some dragons imagine come on
well plane arrived pretty much on time and it is 68 degrees on the ground in texas not much to complain about,the plane arrived in time and it is 68 degrees on the ground in texas not much to complain
all s well i got comped with multiple other bags which just made my day,it is all right i was counted with several other bags that just made my day
thanks for the ride to chicago,thanks for the chicago ride
flt 947 emer stop in albuquer for a heart condition crew was awesome pilot was maverick on the divert,volt 947 emer stop to boil for a heart condition the crew was great pilot was maverick on the detour
thanks so much appreciate your kindness in adjusting our reservation even during snowstorms i still prefer southwest uo,thank you very much enjoy your kindness by adjusting our reservation even during the snowstorms i still prefer the southwest yes
you guys held our flight thank you about to take off from mdw now to oakland thanks,you kept our flight thank you to get down from mdw to the forest thank you
first time flying with you you have definitely won me over,first time flying with you you definitely won me
rocks open letter to flight attendant lt my child was inspired thank you,rocks open letter to the flight attendant quot my child was inspired thank you
luved the sjc gate 23 agent this am who boarded flight 372 to dal did not get his name he represents your brand so well,i read the sjc door officer who took flight 372 to dal he did not get his name it represents your mark so well
thanks for an awesome flight and connection we were delayed but your staff and crew were purely amazing,thanks for an impressive flight and connection we were delayed but your staff and crew were just amazing
great flight got us back on time thanks,a big flight brought us back to time thank you
thx for smooth landing today we applauded now what can u do abt the weather,we applauded for a smooth landing today now what can you do
not frustrated just an idea great crew thanks,not frustrated just an idea super crew thank you
we had early bird and it was great your employees were awesome it was 3 passengers who killed the buzz,we had an early bird and it was great your employees were impressive three passengers who killed the buzz
ahah ua uo u that is why i love swion,ahah ua uo u that is why i like swion
you are lucky to have people like annamarie and norris at bwi i hope they get recognized for excellent cust service,you are lucky to have people like annamarie and norris to bwi i hope they will be recognized for a good cust service
i wish i would have seen this 4 hours ago i wanted to see them tonight so bad,i wish i had seen it four hours ago i wanted to see them so bad tonight
i ll have to drop by next time i visit,i m going to have to spend the next time i visit
feels like a good day to fly thanks for the ontime departure to sna,it is a good day to fly thank you for the departure at the time of sna
great trip on 2672 yesterday outstanding flight attendants,excellent trip on 2672 yesterday exceptional flight attendants
i m on the 10 55 flight everyone has been so nice and helpful i m just hoping we will get to fly out thank you,i m on the 10 55 a m flight everyone was so kind and helpful i just hope we are going to fly thank you
thank you see u next wednesday in fll save me some peanuts,thank you see next wednesday in fll save me peanuts
so happy that you can finally put your boarding pass into passbook makes life so much easier iou,so happy that you can finally put your boarding card in the passbook makes life so much easier iou
i will do just about anything to go to the vegas show please man,i ll do anything to go to the gas show please
got it taken care of thank you lt 3,it went well thank you lt 3
please acknowledge attendant jeff wernicke beat in class and service on sw,please recognize the police officer class and service on sw
thank you so much for access to tonight at u crying dying rn,thank you very much for the access to tonight at u crying dying rn
so excited about our last minute trip to and she does not know yet,so excited for our last minute trip to and she does not know yet
thank you so much,thank you very much
rules,rules
happily flight 1625 was not delayed when a cockpit visit blew my four yr old s mind thanks cap n,fortunately flight 1625 was not delayed when a cockpit visit blew my four year mind thank you captain
flight 3056 only an hour long but one of the best flights i ve ever had kudos to flight crew and airline in general,flight 3056 only one hour but one of the best flights i ve ever had kudos to the flight crew and to the airline in general
thanks for being so good to us folk it is cold in but i sure enjoyed my flight,thanks for being so good for us it is cold but i liked my flight
thank you so so much for sending me to la for tonight is going to rock u,thank you so much for sending me to tonight s rock u
oh i see what you did there thanks for supporting,i see what you did here thanks for the support
yeah haha never been in one it is expensive ua ua and we will so much fun,yeah haha i ve never been it is expensive and we will do it so fun
beautiful day in seattle,nice day in a jerk
this has to be the best video i have seen ever,must be the best video i ve ever seen
thank you for your kind response the acknowledgement and apology go a long way,thank you for your kind answer recognition and apology go far
you guys rock so easy quick and affordable to change my flight,you are rock so easy fast and affordable to change my flight
thank you for your help shannon great customer service,thank you for your help shannon great customer service
thanks lindsey amp the southwest twitter team for great service amp a speedy resolution,thank you lindsey amp the southwest twitter team for a great service and quick resolution
please help we really want to fly with you,please help we really want to fly with you
thank you dming now,thank you now
sea to den south sound volleyball team on its way,the sea to den south volleyball team on the way
already booked my tickets for august 20th 30th cannot wait for my vacation,i already booked my tickets from 20 to 30 august i cannot wait for my vacation
that is awesome love flying swa,that is great i love flying swa
that guy was the flight attendant on my last flightu he was hilarious 14,that guy was the captain on my last flight he was hilarious 14
thanks for the info and the quick response,thanks for the info and the quick answer
shhhh i do not want something else to steal our deal ua,i do not want anything else to steal our deal ua
deborah helped me uo,deborah helped me
give this guy a raise great start to flight from az to mke,give this guy an increase big start of az to mke flight
oh my gosh going to dm you now thank you,oh my god fuck you thank you
thank you so much youre amazing im going to cry omg,thank you so much for your incredible im will cry omg
thank you we will be in touch,thank you we will be in touch
flight from bwi to isp ready to go thanks for keeping us warm,bwi flight to isp ready to go thank you for keeping us warm
love love love this southwest rocks always,love love love from the southwest
shout out to the flight crew for taking amazing care of us on our double down flight,shout to the flight crew to take care of us on our double flight
please do hate having to fly a different airline you are my fav,please hate to steal another airline you are my fav
sure thing,sure
save mile to visit family in 2015 and this will impact how many times i can see my mother i planned and you change the rules,save a kilometer to visit the family in 2015 and it will impact how many times i can see my mother i planned and you change the rules
jackpot,jackpot
i live in the southwest imagine dragons is my favorite band and i met my 2bestfriends thanks to them it would be amazing,i live in the southwest imagine that the dragons are my favorite band and i met my two best friends thanks to them that would be amazing
i love you air travel does not get easier,i love you air travel is not easier
received awesome phone help from jim today helped me switch around flights booked with points,received the awesome phone help from jim today helped me fly reserved flights with points
thank you i cannot wait either,thank you i cannot wait either
sweet glad to hear it i ll keep you guys in mind next time,that is nice glad to hear it i ll keep you in mind next time
your employees at bwi have been amazing,your employees in bwi were amazing
thanks for responding,thank you for answering
