original,translated
if i was rebooked do i have to pick up my luggage,if i ve been booked do i have to get my luggage
i am following you need to follow me for dm,do you have to follow me for dm
just called and did it should have earlier because i m being sent to dca first and then to pvd we may rent a car instead,i just called and did i should have been sent first to dca and then to pvd we can rent a car
i went from sacramento to minneapolis at the end of october 2014 in business class,i passed from sacramento to minneapolis at the end of october 2014 in business class
i see several economy plus can you put us in those we do not have to be seated together,i see several savings more can you put us in these we do not have to sit together
i see you coming to get me and in hawaii,i see you coming to get me and hawaii
i have a question,i have a question
i see two flights with two seats in the morning can we get on those,i see two flights with two seats in the morning can be obtained on these
we will be at the airport first thing in the morning,we will be at the airport first in the morning
does not have to be same flight 2 and 2 will work also,must not be the same flight 2 and 2 will also work
yes on a nonstop to memphis tomorrow morning with the snow coming in i got my fingers crossed it will go,yes on a non stop for memphis tomorrow morning with the snow coming i ve got my fingers crossed i ll be fine
traveling with 3 young kids chose our original flights for a reason,trip with 3 young children chose our original flights for one reason
are there any upgrades avail to get us all on the same flight,are there updates available for all of us on the same flight
is flight number 1142 denver to las vegas 1125 on sunday feb 22 cancelled flighted,is the flight number 1142 denver at the vegas 1125 on sunday feb 22 cancelled stolen
after all i have been through on this trip can you get me on another airline home,after all i ve been through this trip can you take me to another airline
u blow,
what is the best way to get your tickets print off at home or go to check in desk,what is the best way to get your tickets printing at home or going to the reception
why are there no early morning flights from hnl to anywhere in the continental us example monday 4 20 need flight to phl,why is not there hnl morning flights anywhere in the continent us example monday 4 20 need to fly to phl
i have requested upgrade for ewr bom flight end of may miles copay when will i know if i am upgraded,i asked for an upgrade for the flight of bom ewr late may miles copay when will i know if i m upgraded
any plans of restating nonstop service between iad and south florida we miss our flights to fll,non stop service rest plans between iad and south florida we miss our flights
following,
please update what is going to happen to passengers now that flt ua14 has been cancelled flightled,please update what will happen to the passengers now that flt ua14 has been cancelled flight
could really use your help getting our bags at iad we are headed to yow but now going to yxu,could really use your help to get our iod bags we go to yow but we go to yxu
it appears there are six flights to calgary tomorrow is this correct,it seems there is six flights to the calgary tomorrow is that correct
do u serve peanuts nuts on yr flights yr policies r confusing contradictory advice pls help u ask those 2 refrain,u serve peanuts nuts on yr flights yr policies r confusing contradictory advice pls help u ask those 2 refrain
is there another airport closer to calgary we can fly out of tomorrow,there is another airport closer to the clay we can fly from tomorrow
yes about an hour after landing,yes about an hour after landing
on flight 1220 right now,flight 1220
can you help me get a flight out tonight to houston just do not want to be stuck here till monday with all this bad weather moving in,can you help me take a flight tonight at houston i do not want to be stuck here until monday with all that bad weather moving
hoping to get out earlier than 2 23 only phone option or assistance with hotel,hoping to leave earlier than 2 23 only the phone option or assistance with the hotel
i was on ua1069 today and left my sunglasses in seat 26f please help me get them back,i was on ua1069 today and left my sunglasses at the 26f seat help me get them
who do i need to contact regrading a complaint and to get a voucher funds for future travel on united,who should i contact the remediation of a complaint and get a good for future public trips
lmfao,lmfao
where is the crew for ua748,where is the crew for ua748
hey i missed my outbound flight can i still use my return ticket,hey i missed my outing flight can i always use my ticket back
the opal dragon book the dragon ali has woven his murdering ways from the philippines to australia,the opal dragon delivers the dragon ali has woven his ways of murder of the filipinos to the australia
any way to get a message to an international flight gate at ewr road conditions are horrible trying to get to flight,any way to send a message to an international flight door to ewr the road conditions are horrible trying to get the flight
hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen,hello we make a world record attempt on the quantity of ballpoint pens in a collection please could you help with a pen
can i get your service desk at iad,can i have your office in the ied
it is possible to make a ticket change via twitter traveling internationally and cannot make calls thanks in advance,is it possible to make a change of ticket via twitter travel abroad and cannot make calls thank you in advance
give me an email address and i ll send the actually screen shot to you,give me an e mail address and i ll send you the photo
also checked email you have on file for me and it is correct,as verified email as you have on the file for me and it is correct
yaayy yay prom,yeah
saturday this morning man dies from ebola,saturday this morning man dies of ebola
so what is allowed or what is not allowed to be carried in my checked baggage,what is permitted or is not allowed to be carried in my checked baggage
i have not booked yet i m asking before i book,i have not booked yet i ask before i book
since ua 1226 ord ewr is delayed pushing it into meal time does that mean it will be catered with meals in first,since ua 1226 ord ewr is delayed to push it in the meal time does it mean that it will be treated with meals first
correct what is correct sorry i m lost,is that right what is wrong
i m flying ua but g with a3,i fly ua but g with a3
we have developers flying down tmrw morn w 45 min layover there is an earlier flight to have 1 5hr layover can move them up,we have developers stealing the tmrw bite w 45 min layover there is a flight earlier to have 1 5hr layover can move them up
home is calgary can you get us there without the added expense of accommodations and meals,the house is the calgarie can get you there without the additional costs of accommodation and meals
nope no case id either time,no no case
a3 gold so the international baggage limit apply when booked on 1 ticket even for a domestic leg what if i travel with 2 friends,a3 gold thus the international baggage limit applies when you book a ticket even for a domestic leg and if i travel with two friends
already dm you my concern pls check,i ve already scared you ps check
i m aware i fly a lot just sad i had to change my shoes boots ha,i know i fly a lot just sad that i had to change my shoes boots ha
same flight number different flight i m heading to mpls,same different flight number i m going to the mpls
flights taking off from iad this afternoon,flights from ied this afternoon
i will i have to get to bangkok i have just 17 days to spend with my husband in his mid deployment leave like to get there asap,i will i have to go to bangkok i only have 17 days to spend with my husband on his mid point deployment leave like getting there
and a husband,and a husband
i take it as a compliment that i was mistaken several times as a member of your staff on my flight time to remove my scarf,i take it as a compliment that i was mistaken several times as a member of your staff on my flight time to remove my scarf
i m glad 1k means something lol,i m glad 1k means something lol
i was able to get a seat on earlier flight sfo to ind can you add me to 6pm ord to ind,i was able to take a seat on the previous flight sfo to ind can you add me at 6 00 p m ind
yes luckily i was there,yes thankfully i was there
can you please follow for a dm,can you follow a dm
i was just calling the global services help desk so via phone,i was calling the global services help desk by phone
on final pls do not let my connection leave conf npbhd0,in the final ps do not let my connection go conf npbhd0
how much does a ski bag cost to check bag contains 1 pair is skis and one pair of poles,how much does a ski bag cost to check bag contains 1 pair of skis and a pair of poles
i got it now would not let me log on with my email thx here is hoping for dtw ase without issue today,i got it now i would not let myself connect with my email thx i hope there is no problem today
lounge used by,living room used
my dad booked through orbitz and due to weather he cannot make it to the airport can you help him,my father has booked in orbit and because of the weather he cannot do it at the airport can you help him
to begin newark london heathrow route on may 6,to start the newark london hathrow route on may 6
any last minute flight deals for your cute little my friday flight was cancelled flightled,last minute deals for your cute little one my friday flight was cancelled in flight
hi have a question re future flight booking problems dub jac 29 9 jac lax 8 10 lax dub 13 10 i m g what is checked bag allowance for jac lax,hi have a question of re entering flight booking problems dub jac 29 9 jac lax 8 10 lax dub 13 10 i m g what is checked bag allowance for jac lax
757 n33103 taxies departing as ua26 to newark liberty airport,757 n33103 taxis from ua26 to newark freedom airport
first officer of ua 1514 checking our 757 prior to departure from ewr yesterday while on his cell safety,the first officer of ua 1514 by checking our 757 before the departure of ewr yesterday while on his cell security
lets do that can you email boarding pass,can you send a boarding message
ui united we hope you do not miss your connection for help with re flight booking problems please follow us amp dm your confirmation cpudone thx,ui united we hope you will not miss your connection for help with flight booking problems please follow us and dm your confirmation cpudone thx
now arrives lax 8 03 am,arrive now lax 8 03 am
we are trying to go as far away from king scollegelondon as possible for today would you help us,we try to go as far as possible from the king s acollegelondon for today would you help us
page united values your tweet b c it is so rare that they receive tweets complimenting their service most are fake,page unite values your tweet b c it is so rare that they receive tweets complimenting their service most are false
if you would love to see more girls be inspired about becoming pilots rt our free woaw event march 2 8 at abq,if you would like to see more girls inspired to become pilots our free event of the lady 2 8 march in abq
united i took a screenshot and emailed it to myself let us dm and figure this out,united i took a screenshot and i sent it myself find it
please call me at 310 795 2210,call me at 310 795 2210
i have a voucher that expires next week can i get an extension on it before it expires,i have a good that expires next week can i get an extension on it before it expires
you know what would be awesome providing us with complimentary entertainment on your flights especially those longer than 6 hours,you know what would be great provide us with free entertainment on your flights especially for more than 6 hours
san diego to chicago leaving at 6 15 am tomorrow,san diego to chicago starting at 6 15 tomorrow
its available online i just cannot figure out how to do it to guarantee same flight,his online available i cannot understand how to do it to guarantee the same flight
you need to follow me so i can dm you to give you the info,you have to follow me so i can give you the information
yea i saw that i m moving to china and have 5 6 bags will pay whatever but wanted to make sure it was ok to bring that many,yes i saw that i was going to china and that i have 5 6 bags will pay everything i wanted to make sure it was good to bring so many things
sure follow for a sec and i will,of course follow a second and i will
airlines on flight ua 1669 need to make ua 3781 can u hold the plane for us,airlines flight ua 1669 we have to do ua 3781 can we hold the plane
will the airline refuse my canadian passport with less than 6 months remaining validity going to us,will the airline refuse my canadian passport with less than 6 months of validity remaining i m going to us
what time should i arrive at the airport for my 6 15 am domestic flight out of san diego,what time should i arrive at the airport for my 6 15 indoor flight outside of san diego
taxing in at,taxation
i am going to a service desk now to see what the options are,i m going to a service now to see what options are
i have such a love hate relationship with you some days you are good the others you are so terribly awful its saddening,i have a hate relationship with you a few days you are good the others you are so terrible that he is sad
how can i verify if wheelchair assistance has been requested for my next flight,how can i check if wheelchair assistance has been requested for my next flight
i left my dildo on the plane is there any way for me to get it back,i left my dildo on the plane is there a way for me to get it back
i have a question about my interview process i had only one interview but was the last person is that good or bad,i have a question about my interview process that i had a single interview but was the last person is that good or bad
landing in chicago saw it once we were already airborne,the chicago landing saw it once we were already airportd
it is done if you do something to make up for it i ll tweet that too,it is done if you do something to compensate i ll tweet it too
terminal 1 gate b3 flt 1299 then take her to terminal 5 gate m13 swiss air lx009,terminal 1 door b3 1299 so take her to terminal 5 lx009
any chance you will ever do cpus on your jfk lax like,you are never going to make cpus on your jfk lax
yes filled out the form last year do not have case number handy guess i m not cut out for the historical society afterall,yes fill out the form last year have no case number guess i m not cut off for the historical society after all
i just had an interview how long does it take before you hear back,i just had an interview how long it takes before you hear it
2 2 i have their name boarding pass was in there too i think they might really need this any ideas,2 2 i have their name boarding pass was there too i think they really need that
sitting in seat 10d on a flight back from vegas to chicago someone left a folder that looks important in the seat pocket 1 2,sitting on the 10d seat on a flight back from the old chicago someone left a file that seems important in the seat pocket 1 2
please tell me i m going to make my connecting flight from o hare to ua,please tell me i m going to do my herd correspondence flight to ua
lindsay and darn terrible memory on my part i know they are headed back to iad and then pit tonight,lindsay and darn terrible memory of me i know they are going back to the ied and then go on tonight
ok thanks for the clarification,okay thanks for the clarification
as a million mile flier i m embarrassed to ask how long ago his launched,i m embarrassed to ask how long it is been launched
how long does it take for customer feedback to respond to a complaint,how long does it take for customer feedback to respond to a complaint
or frontier,or border
fyi went through this on similar flight last week,fyi crossed this flight last week
assume those benefits only apply to my own reservation any way my partner on diff res can use them can we combine res,assume that these benefits apply only to my own reservation any way my partner we diff res can use them can we combine res
or us air,or we look like
uhuh group trying to get out of nashville and into iad today instead of tomorrow why be preemptive though,group trying to get out of nashville and inject today instead of tomorrow why be preventive
blood services make your appt today 18009174929,get your app today 18009174929
not waiving change fees with the snow storm coming tomorrow iad is under winter storm warning tomorrow already what is up,do not give up the change costs with the snowstorm that will come tomorrow iad is under the warning of the winter storm tomorrow what is up
yes i ll be sending an email to customer service today,yes i ll send an email to the customer service today
this is for a check in luggage employee told me not to include wheels in the dimensions,it is for a recording bag the employee told me not to include the wheels in the dimensions
dmangen visualclubconcepts com,dmangen visualclubconcepts com
if i had a ticket refunded which i purchased for my brother to fly could i then used the refunded credit for me to fly respond,if i had a refund ticket i bought so that my brother would fly can i use the money i m paying for respond
need to add service dog to my itinerary for tomorrow,need to add a service dog to my itinerary for tomorrow
dm ed u the request num,dm ed u la demande num
bagage which i take to in the cabin i dont need to check in correct,baggage i take in the cabin i do not need to record correct
exactly,exactly exactly
old school ride home to lax from houston,old school at home in houston lax
mine is gjqx6j husband is a587cw can t dm for some reason,mine is the husband gjqx6j is a587cw can not m for any reason
hi we are flying into iad tomorrow evening do you expect delays or cancelled flightlations with the snow storm,hey we are flying in iad tomorrow night are you expecting delays or flights cancelled with the snowstorm
followback so i can dm plz,followed so i can dm plz
ua6357 needs de icing stat we have waited our turn,ua6357 needs deicing stat we waited for our turn
yes i ve boarded this way many times amp have never had to show my pass on the tarmac multiple times path was railed off only 1 way,yes i have embarked this way several times and never had to show my passage on the tarmac several times the path was cut off only 1
anything yet jj,what else
are the current on board food menus available anywhere online,current food menus available all over the world
airlines is changing its mileageplus program winners and losers,airlines change its mileageplus program winners and losers
can i put sun in my carry on rt ui united right now 0 would be a heat wave so enjoy the warmth can you bring some home jju,can i put the sun in my port rt ui united now 0 would be a heat wave so enjoy the heat can you take a little home jju
it just goes round amp round it is be going on for weeks,it is going and round it is going on weeks
i looked on the email chain and there is not one,i looked at the email channel and there is no one
do you also want the naming rights to my first child so i can fly home and visit with my mother and avoid more winter depression,do you also want the denomination rights for my first child so that i can go to my home and visit my mother and avoid more winter depression
thanks that means i have 30 minutes to make my international connection to hkg,thank you that means i have 30 minutes to make my international connection to hkg
kp i am not traveling we trying to cheer up ms bila,kp i m not traveling we are trying to cheer up oh yeah
workin on it waiting on him to reply,i work on it waiting to answer
i m in another country please cancelled flight my reservation i ve booked through swiss air,i m in another country please cancel my reservation i ve booked through the swiss air
found the flight on,found the flight
dm sent,dm sent
so going forward i should not be flight booking problems star alliance flights through the united app,so i should not fly booking flights with alliance flights with the unified app
i left headphones in 2a on ua4689 from yhz ewr it is a long shot to see them again but worth a tweet anyway,i left 2a earphones on ua4689 yhz ewr it is a long chance to see them again but it is worth a tweet anyway
129 thousand fans of are asking you to give her your utmost effort to get her a safe flight with her baggage soon,129 thousand fans ask you to do everything you can to make him a safe flight with his luggage soon
ui united please dm details we would like to help if you need assistance kpu,ui united please dm details we would like to help you if you need help kpu
please arrange someone at the arriving gate of flight 5957 to chicago for either a refund or first class upgrade,please arrange someone at the arrival door of flight 5957 to chicago for a first class refund or upgrade
just emailed jim compton and jeff smisek so hopefully you pay attention now,jim compton and jeff smisek i hope you are paying attention now
do miles earned with explorer card count toward lifetime miles,the miles earned with the explorer card count towards miles to life
what do i do if something is missing from my checked baggage,what if something misses my checked baggage
frontier is currently offering their weather exceptions for this weekend when is united,currently offers weather exceptions for this weekend when is he unified
past,past
will you be issuing an exception policy for denver for this weekend,are you going to publish an exceptional policy for this weekend
i need a breakdown of what the international surcharge on my flights cover please help,i need a breakdown of what the international charge on my flights please
flight on 2 23 thx,flight on 2 23 thx
based on suggestions from other passengers i have a rental car on standby for 11 30 one way or another will be leaving then,based on suggestions from other passengers i have a rental car waiting for 11h30 in one way or another will then leave
gives belfast a with the new unmissable format,give belfast a with the new invalid format
how did you save the 200 on checked snowboard trying to check in this morning website wants 200 prem gold,how did you save the 200 on the verified snowboard trying to check this morning the website wants 200 prem gold
traveling from fra thru iad to mco tomorrow concerned abt iad weather cannot change until advisory issued any advice,traveling from fra thru iad to mco tomorrow concerned abt iad s time cannot change until a notice is issued advice
who can i contact about requesting a charity donation,who can i contact to ask for a charitable gift
i need a customer service manager to contact me please,i need a customer service manager to contact me
will do cheers,will
yes houston int l bush,yes houston int l bush
hi my 2 23 flight from cun ewr shows a departure of 2 55pm on my united app can you confirm does not look correct thanks,hello my flight 2 23 of cun ewr shows a departure of 2 55pm on my unified application can you confirm it does not look right thank you
will do thanks,it is okay thank you
to start 3xdaily flights from to on 4jun,start 3 daily flights from to 4jun
checked in boardingpass w no checkin bagage guess i m all set,checked in boardingpass w no checkin bagage guess i m ready
just kidding with you i ll send you my stuff now thanks,i m joking with you i m sending you my stuff thank you
tremendous what would you recommend,great what would you recommend
lets see of we can do this today hoping for an on time dept,let us see this today hoping for a sampling
pre dawn flight to from annual trip now,pre detentious flight from annual travel now
got it look forward to hearing from you soon,i cannot wait to hear you
i ll be impressed if i actually get a response ui,i ll be impressed if i really have an answer ui
hi i left my asus tablet on flight to heathrow from newark on 16th feb and wondered how long it takes for someone to check if found,hi i left my asus tablet on the flight to the newark propeller on february 16 and asked me how long it took for someone to check if found
any chance you are allowing reflight booking problems yet for travel out of denver this weekend due to impending storm,you have a chance to leave reflight booking problems to travel out of steam this weekend due to the imminent storm
hello i got off a flight a few months ago and constantly think about your peanuts is there anyway you could send me some,hello i left a flight a few months ago and i m constantly thinking about your peanuts could you send me some
round trip,round trip
thanks not tonight it would seem,thanks not tonight
i have a lh return business ticket from den to fra if i fly domestic with you bag can be checked through to fra no need to claim,i have a business ticket back from den to fra if i fly with you we can check the bag do not need to ask
also a united phone representative just asked me for my web password is that normal,a representative of the uni phone asked me my web password is that normal
what is your plan to reduce delays,what is your plan to reduce delays
i m searching for flights to redeem with miles and getting different search results with 2 user accounts any reason why,i search for flights to buy back with miles and get different search results with 2 user accounts why
what is your phone number customer service question,what is your phone number customer service question
kids left a kindle fire hd 6 onboard ua1037 ord sfo today row 9abc def we had the whole row amongst the 5 of us help,the children left a hd 6 wood fire aboard ua1037 oud sfo today line 9abc def we had all the line among us 5
surprised to go from 1k last year to nothing this year what happened to the soft landing policy of no more than 1 level,surprised to spend 1k last year at nothing this year what happened to the rapid landing policy of a maximum level
2 2 pay in person at portland airport i will be flying from perth this has been done by us air,2 2 pay in person at the portland airport i ll fly from the outskirts it is done by air
what do you have in mind,what do you have in mind
i understand why the pilot would get on the plane but why 1st class there were 5 empty coach seats near me i m a premier 1k,i understand why the pilot would be on the plane but why the first class there were five empty seats near me am i a first 1k
can someone at the airport in portland or buy a ticket to be picked up and used 2days late flightr by other from perth australia thanks,someone at the portland airport or buy a ticket to be picked up and used 2 days delay to fly by another from perth australia thank you
what happens on 9 11 a m of 9 11 2spooky 4me m8 such spook much scare,what happens on 9 11 hours of 11 september 2spooky 4th m8 such spook a lot fear
let us go join me on my first trip back to nycu as a tourist,let us go join me on my first trip to nycu as a tourist
is z and d code airfare refundable,is the code airfare refundable
no did not notice i was 38a until start of boarding assumed i was 8e by time boarding started gas had cleared standbys full flt,no i did not notice that i had 38a until the start of boarding i had 8th when the boarding started the gas had cleared moorings full flt
want to book a multi city fare have miles for 1of 2 flights an option to pay for 1st flight with miles 2nd with ump visa thanks,i want to book a multi city rate have miles for 1 of 2 flights an option to pay the 1st flight with miles 2nd with an arbitrary visa thank you
your flights are really cheap what is the catch,your flights are really cheap what is taking
lgjw7b i voluntarily rerouted 1st leg of journey was in economy and was supposed to be 8b res agent said she would reserve it for me,lgjw7b i voluntarily rolled 1st stage of travel was in the economy and was supposed to be 8b the agent said she would book me
my partner and i booked individual reservations for same flight i have pr silver can he share my premier privileges somehow,my partner and i booked individual reservations for the same flight i have money can he share my prime minister privileges
sent dm s,i sent dm
line up,straight line
bought a round trip to chicago two days ago today the same flight is half that is there any way for me to get that discount,two days ago i bought a chicago tour today the same flight is half is there a way for me to get this discount
stars and bars,stars and bars
in bogota with no wallet is no fun,bogota without a wallet is not fun
i will give it a couple more weeks thank you,i ll give him a few more weeks thank you
happens every time in and out of newark,happens every time in and out of newark
will i make it with the delay,will i do it lately
i m on standby for my connecting flight 1st on the list nudgenudge i m told there are four slots open save it for me please,i m waiting for my correspondence flight first on the list i was told there were four open slot machines save it for me please
looking back never heard from anyone i had to call and frankly got standard sop still think about it today,look back never heard from anyone i had to call and frankly got standard sop always think about her today
i am on 1528 and my connecting flight is 909,i m on 1528 and my connecting flight is 909
just got interrogated at the united club chicago,we just questioned the club chicago uni
can i access frankfurt arrival lounge when i m flying global first class,can i access frankfurt s arrival lounge when i fly to world class
can i go,i can go
i got an email from cust care for an issue i had offering me a voucher how do i claim that i emailed back but got no reply dm me,i got an e mail from the con i was taking care of a number i offered a good one how can i say that i answered but i did not get an answer dm me
i would like to know if its possiable to checkin online or must it be done at schiphol,i would like to know if his possiable to check online or should it be done in schiphol
how do you go fr silver elite for two straight years to group 5 all the time i get no group 2 but maybe 3 or 4 what is up,how are you going to be a silver elite for two straight years for group five all the time i do not have a group two but maybe three or four what is up
what delivery service do you use i d like to call them myself,which delivery service do you use i d like to call them myself
it is cool i did not need to go to work today or get home to make sure my house is ok in the 30 wind chill,that is cool i did not need to go to work today or go home to make sure my house is in the cold of the wind
please reroute oregon women s tennis to santa barbara there is supposedly another connection from la,please redirect the women s tennis from the oregon to the santa barbara there is another connection to the
online inchecking able in the netherlands ams,online recording in netherlands ams
when will you have special promotions for flights departing newark nj to st john s antigua,when you have special deals for flights from newark nj to st john s antigua
hi if a premium ec upgrade was paid for amp then a mileage bf upgrade done is the prem eco upgrade fare refunded,hi if a premium ec upgrade has been paid for amp then a upgrade of mileage bf is the discounted eco upgrade price
getting there read your review on,i m coming read your review on
dm the conf to you did you receive it,dm the confused for you did you receive it
still waiting for a response on whether or not you allow use of a rear facing car seat on an erj145,waiting for an answer on if you allow to use a rear car seat on a erj145
does she need to complain on twitter for the refund or is it auto applied,does she need to complain about twitter for refund or is it self applied
no i have a pricey chase mileage plus cc,no i ve got a kilometre of hunting more cc
i have 2d and 3d embossed badges and patches superior to the ones you are currently using,i have badges and patches in relief 2d and 3d above those you currently use
death in the family cannot make flight tomorrow phone rep quoted 440 per person fee which is almost the cost of ticket help,death in the family cannot fly tomorrow phone rep quoted 440 per person which is almost the cost of the ticket help
i m a ua 1k i think it is who was looking for help,i m a ua 1k i think it is who was looking for help
res 0167560070877 fsqthg thanks,res 0167560070877 fsqthg thank you
you really should not use the word crashing just sayin,you should not use the word crash say it
need assistance to change flight to get to an ailing parent have flight leaving tuesday need to change asap to sooner,need help to change the flight to a winging parent having the flight leaving tuesday need to change as soon as possible
you need to follow me i order for me to dm,you have to follow me so i can call dm
airlines is changing program march 1,airlines change program march 1
there is only one club at lax in terminal 7 across from gate 71,there is only one lax club in terminal 7 in front of door 71
definately not an award for employer of the year,is not a reward for the employer of the year
need to change flight from this tuesday to sooner to attend to ailing parent in fl need help,need to change the flight from this tuesday to earlier to attend the parental alternation in fl need help
i have already emailed but i did not know if it was more expedient to contact you here please advise thanks,i ve already sent an email but i did not know if it was more appropriate to contact you here please advise thank you
yes when i landed,yes when i landed
click lounges tab need to be flying on supported s a airline,click on the lounge tab need to fly on support s a airline
for my grandma ella s 80th she would love a birthday greeting from your flight crew she was a stewardess for eastern airlines,for my grandmother s 80th she would love a birthday of your flight crew she was a hostess for the eastern airlines
is hiring flight dispatcher chicago il network operations centerl,is hiring flight dispatcher chicago it centre operating network
have all 747 400s been updated with power outlets and seat back tvs yet flying ord to tokyo narita on the 28th,have the 747 400 been updated with power sockets and back tvs ord flying tokyo narita on the 28th
any news,news
this is the year for van gogh fans to visit europe,this is the year for van gogh fans to visit europe
who can eat at an airport for 7,who can eat at the airport for 7
i did not that is why i am very concerned,i didn t that is why i m very worried
trying to locate passenger that landed 2 hrs ago in ua938 can you assist is flight still in customs please help,trying to locate the passenger who landed two hours ago at ua938 can you help is the flight still in customs please
for a fee,for a fare
hi booked a flight yesterday and received an email w confirmation number but today i got this error no active flight segments,hi booked a flight yesterday and received an email with the confirmation number but today i had this error no active flight segments
any updates with the dot looking at the united fares from london to the us from last week,updates with the point looking at the unified rates of london to us last week
i do not have a milage number i cannot sent my mail to you via dm you are not following me i follow you now so you can sent me a dm,i do not have a milage number i cannot send you my mail by dm you do not follow me i m following you now you can send me a dm
refund,refund
aisle please,aisle please
good maybe that will make up for losing my medallion,good maybe it will make up for the loss of my medallion
i live abroad and am flight booking problems flights for when i come visit the states,i live abroad and am booking flight problems flights for when i come to visit
i have,yes
next day,next day
i filled out the form but i havenuat received any sort of email confirmation that ituas been received is that normal,i completed the form but i received any kind of email confirmation that heuas was received is that normal
n26902 dreamliner leaves london heathrow,n26902 dreamliner leaves the helipad
ok can i dm you the info,okay can i tell you the news
koa lax should have fresh food service right,koa lax should have a fresh food service right
will do thank you,it will thank you
okay thank you both,thank you both
they had snacks available just no fresh food not sure what happened but i m sure we will grab a bite before our sfo connection,they had snacks available just no fresh food not sure what happened but i m sure we are going to take a bite before our sfo connection
done as requested,done as requested
turkish airlines rebooked us a united flight on our second leg from fra gt iad is there any way to check if upgrades are available,the turkish airlines have reserved us a single flight on our second leg of fra gt iad is there a way to check if upgrades are available
hey i left my favorite blanket on the plane bring it back home to me,i left my favorite blanket on the plane to bring her home
followed amp dm d,followed amp dm d
i want a hotel room and a whiskey,i want a hotel room and a whisky
flight gotta make this connector,flight i have to do this connector
ok noted all details will be dm ed to you shortly,all the details will soon be given to you
any info on delays at sfo tomorrow due to low clouds,news about sfo s late tomorrow because of low clouds
thanks,thank you
we finally just arrive to bogota good but long flight,we finally arrive at bogota good but long flight
want to make my day friend is premier amp i should be soon any chance you can upgrade our two 10 hr leg of flights to ecom plus,you want to do my day friend is prime minister and i should be soon can you upgrade our 10 hour flight leg for ecom plus
that is of course in lax,it is of course lax
ok thanks where are you counters located and how late flight are they open,thank you where are the counters located and how long are they open
dca ewr flight,flight dca ewr
any chance you could look into my problem from earlier,could you look at my pre existing problem
can you please tell me where united flies to from sydney australia pref asia pac or us as i have a voucher to redeem,can you tell me where the unified flies of sydney australia pref asia pac or us like i have a good to redeem
i have flights that do not appear to have been applied to my mileageplus account can you help,i have flights that do not seem to have been applied to my mileageplus account can you help
i m just an aussie cowgirl lookin for my cowboy take me to fort worth estelle says i ll find him there,i m just a cowgirl sore looking for my cowboy take me to the fort estelle says i ll find him there
should find a way to distinguish boarding of premier members and credit card holders group 2 is too big,should find a way to distinguish boarding members from the prime minister and credit card holders group 2 is too big
was in the air just dmd you,was in the air i love you
sprinted from c concourse to e and just made it coughed up a lung in the process but am now in clt tnx,sprinted from c contests to e and just did cough a lung in the process but they are now in the water tnx
hey think someone could meet me with my book when i arrive at at 10 30 it is yes please oscar took it,hey could anyone meet me with my book when i arrive at 10 30 yes please oscar took it
hopefully they will give me a feedback bafore my flight,hope they will give me a comment before i fly
i now see it is 72 hours thanks,i see it is 72 hours thank you
we invite to fallow learn about our activities prevention programs of health by condom rito family we r 501 c 3 thanks,we invite you to share our activities health prevention programs by condom rito family we r 501 c 3 mer
very nice at lhr congrats but i m sticking with aa ba,very nice on time congratulations but i stay with aa ba
flight 280,flight 280
flight 1640 n33289 arrives at following flight from,flight 1640 n33289 is coming after the flight from
yes you can i will dm,yes you can i m going to go
hi i just bought a flight with united through ebokeers from paris to miami do i have any chance to check that everything is ok,hello i just bought a flight with paris to miami ebbers i have a chance to make sure everything s okay
no worries i think ituas under control the emails are keeping me informed,no worries i think he is under control e mails keep me posted
jt is the ord to phl flight at 9 15 pm cdt delayed dm i m kind of hoping not to be stranded at ord either,jt is the captain delayed at 9 15 p m cdt i hope not to be strangled either
what happened to flight status map it was so cool,what happened to the flight status card that was great
hi guys i submitted a request for ticket hotel reimbursement for a delayed over night stay coming back from the dominican help,hey guys i submitted a ticket hotel refund request for a delayed on time night stay that is back from the dominican help
yes i want to complain your coworker was neither is there a customer service point airside,yes i want to complain your colleague was not either is there a customer service point in the air
ui united sorry to hear about your flight do you need help reflight booking problems u uo,ui united sorry to hear about your flight do you need help reflight booking problems u uo
alright thank you is there a page that says the routes you have for each aircraft specifically the 787,thank you is there a page that says the itineraries you have for each aircraft specifically 787
i just sent a long note with some suggestions thanks for getting back to me,i just sent a long note with some suggestions thanks for seeing me again
there are at least 3 of us on ua1564 at ord waiting to deplane to catch ua4232 to clt any chance of waiting to last second for us,there are at least 3 of us on ua1564 ord waiting to go down to catch ua4232 to clt a chance to wait for us
pty to pit via iah,pty to pit via iah
is it possible to redeem miles for one part of a round trip itinerary without having to book two separate reservations,is it possible to buy miles for a part of a round trip without having to book two separate reservations
sent,sent
understandable i did try flight booking problems several times for 2 passengers amp got the messages i mentioned before as for the agents price,understandable i tried flight booking problems several times for 2 passengers and i had the messages i mentioned before like the price of the agents
patiently drinking and tweeting about my experience,drink and tweet patiently on my experience
in flight promo on their tv s includes brian williams tough to edit that quickly not a complaint just an observation,promotion on their tvs includes brian thugs it is hard to change it quickly not a complaint just an observation
how many 787s do you currently operate and what other aircraft do you operate,how many 787 people are currently operating and what other aircraft are you operating
it is operated by united as it is a heathrow newark flight,it is operated by uni because it is a towing flight
